"","modality","type","period","brain_measure","stim_int_estimate","stim_int_SE","stim_int_DF","stim_int_t","stim_int_p","cue_mean_estimate","cue_mean_SE","cue_mean_DF","cue_mean_t","cue_mean_p","cue_var_estimate","cue_var_SE","cue_var_DF","cue_var_t","cue_var_p","cue_sk_neg_sym_estimate","cue_sk_neg_sym_SE","cue_sk_neg_sym_DF","cue_sk_neg_sym_t","cue_sk_neg_sym_p","cue_sk_pos_sym_estimate","cue_sk_pos_sym_SE","cue_sk_pos_sym_DF","cue_sk_pos_sym_t","cue_sk_pos_sym_p","cue_mean_X_var_estimate","cue_mean_X_var_SE","cue_mean_X_var_DF","cue_mean_X_var_t","cue_mean_X_var_p","stim_int_X_cue_mean_estimate","stim_int_X_cue_mean_SE","stim_int_X_cue_mean_DF","stim_int_X_cue_mean_t","stim_int_X_cue_mean_p"
"1","pain","neuromarker","stim","nps",0.143,0.027,2895.21,5.23,0,0.022,0.03,202.09,0.74,0.462,0.006,0.027,2895.26,0.24,0.812,0.047,0.039,2894.92,1.21,0.225,0.017,0.038,2895.6,0.45,0.653,0.006,0.027,2904.36,0.21,0.836,-0.016,0.027,2894,-0.57,0.567
"5","vision","neuromarker","stim","nps",-0.015,0.03,2947.11,-0.5,0.617,-0.013,0.03,2946.43,-0.45,0.652,0.022,0.03,2947.94,0.75,0.456,-0.055,0.042,2947.36,-1.29,0.196,0.038,0.042,2947.25,0.9,0.368,0,0.03,2946.37,0.02,0.988,0.005,0.03,2946.45,0.15,0.877
"6058","pain","neuromarker","stim","siips",-0.017,0.028,2936.19,-0.59,0.552,0.066,0.028,2936.51,2.33,0.02,0.016,0.028,2937.62,0.55,0.586,-0.011,0.04,2936.81,-0.27,0.785,-0.012,0.04,2937.06,-0.31,0.757,-0.007,0.028,2936.44,-0.24,0.814,0.001,0.028,2936.63,0.05,0.96
"6062","vision","neuromarker","stim","siips",-0.027,0.03,2935.65,-0.88,0.377,-0.005,0.03,2935.08,-0.17,0.864,0.051,0.03,2936.69,1.68,0.094,0.008,0.043,2936.1,0.2,0.844,0.035,0.043,2935.89,0.81,0.417,-0.011,0.03,2934.91,-0.38,0.704,0.001,0.03,2935.1,0.04,0.971
"12115","pain","pain","stim","Thal_VPLM_R",0.112,0.029,2946.48,3.88,0,-0.025,0.029,2946.87,-0.87,0.385,0.008,0.029,2947.69,0.28,0.783,-0.031,0.041,2946.92,-0.75,0.456,-0.045,0.041,2947.29,-1.1,0.273,-0.006,0.029,2946.78,-0.21,0.836,-0.027,0.029,2947.02,-0.94,0.346
"12119","vision","pain","stim","Thal_VPLM_R",0.043,0.031,2964.47,1.4,0.162,-0.062,0.031,2963.45,-2,0.046,-0.033,0.031,2964.66,-1.07,0.284,-0.085,0.044,2963.83,-1.93,0.054,-0.004,0.044,2964.26,-0.1,0.923,0.026,0.031,2963.31,0.83,0.408,0.025,0.031,2963.36,0.8,0.425
"18172","pain","pain","stim","Thal_VPLM_L",0.084,0.029,2906.78,2.93,0.003,-0.043,0.029,314.36,-1.47,0.141,0.001,0.029,2906.58,0.05,0.962,0.013,0.04,2906.09,0.31,0.757,-0.005,0.04,2907.15,-0.13,0.898,0.006,0.029,2914.76,0.22,0.83,0.005,0.029,2905.59,0.17,0.862
"18176","vision","pain","stim","Thal_VPLM_L",0.041,0.031,2965.46,1.34,0.181,-0.027,0.031,2964.56,-0.89,0.375,-0.024,0.031,2965.59,-0.77,0.441,-0.03,0.044,2965.06,-0.7,0.487,-0.01,0.043,2965.24,-0.22,0.823,0.022,0.031,2964.35,0.7,0.481,0.012,0.031,2964.58,0.39,0.696
"24229","pain","pain","stim","Thal_MD",0.097,0.029,2948.53,3.34,0.001,-0.005,0.029,2948.92,-0.16,0.872,-0.027,0.029,2949.77,-0.94,0.347,0.017,0.041,2949.01,0.42,0.674,-0.017,0.041,2949.36,-0.41,0.68,-0.01,0.029,2948.84,-0.35,0.728,-0.01,0.029,2949.08,-0.35,0.726
"24233","vision","pain","stim","Thal_MD",0.009,0.031,2911.23,0.28,0.777,-0.016,0.031,355.32,-0.5,0.614,-0.035,0.031,2911.42,-1.15,0.251,-0.068,0.044,2910.36,-1.56,0.118,0.007,0.044,2910.53,0.15,0.879,0.041,0.031,2912.24,1.32,0.186,-0.024,0.031,2912.52,-0.78,0.438
"30286","pain","pain","stim","Bstem_PAG",0.141,0.03,2907.27,4.71,0,-0.066,0.03,341.9,-2.17,0.031,0.054,0.03,2907.83,1.79,0.073,0.014,0.042,2906.83,0.33,0.739,-0.001,0.042,2907.9,-0.04,0.972,0.025,0.03,2915.29,0.83,0.406,-0.028,0.03,2906.38,-0.92,0.357
"30290","vision","pain","stim","Bstem_PAG",-0.006,0.031,2917.3,-0.18,0.854,0.003,0.032,306.24,0.08,0.937,0.031,0.031,2917.08,0.99,0.323,-0.012,0.044,2916.23,-0.27,0.787,-0.015,0.044,2916.53,-0.35,0.729,0.03,0.031,2917.93,0.97,0.334,-0.001,0.031,2918.13,-0.03,0.973
"36343","pain","pain","stim","dpIns_L",0.145,0.028,2906,5.17,0,-0.016,0.029,302.06,-0.55,0.585,0.002,0.028,2905.65,0.06,0.956,0.03,0.04,2905.29,0.76,0.444,0.005,0.04,2906.31,0.14,0.892,-0.005,0.028,2913.91,-0.18,0.858,-0.001,0.028,2904.73,-0.05,0.963
"36347","vision","pain","stim","dpIns_L",0.006,0.031,2950.22,0.18,0.855,-0.019,0.031,2949.45,-0.63,0.528,0,0.031,2950.38,0.01,0.995,-0.063,0.043,2949.88,-1.45,0.147,0.003,0.043,2950.01,0.06,0.949,0.002,0.031,2949.28,0.06,0.953,0.005,0.031,2949.34,0.15,0.883
"42400","pain","pain","stim","dpIns_R",0.155,0.027,2948.32,5.67,0,-0.027,0.027,2948.59,-1,0.316,-0.019,0.027,2949.06,-0.68,0.499,0.012,0.039,2948.62,0.31,0.754,0.03,0.039,2948.83,0.78,0.435,-0.003,0.027,2948.54,-0.1,0.916,-0.007,0.027,2948.69,-0.24,0.808
"42404","vision","pain","stim","dpIns_R",-0.02,0.031,2948.55,-0.65,0.515,-0.009,0.031,2947.47,-0.3,0.763,0.019,0.031,2948.54,0.62,0.536,-0.142,0.044,2948,-3.25,0.001,-0.034,0.043,2947.98,-0.77,0.441,-0.005,0.031,2947.19,-0.16,0.871,0.003,0.031,2947.41,0.09,0.927
"48457","pain","pain","stim","aIns_L",0.093,0.029,2948.31,3.21,0.001,-0.016,0.029,2948.7,-0.54,0.588,0.002,0.029,2949.55,0.06,0.951,0.024,0.041,2948.79,0.57,0.567,0.045,0.041,2949.14,1.08,0.278,-0.007,0.029,2948.62,-0.23,0.82,-0.01,0.029,2948.87,-0.33,0.739
"48461","vision","pain","stim","aIns_L",0.006,0.031,2916.61,0.18,0.854,-0.031,0.033,249.1,-0.93,0.353,-0.027,0.031,2916.54,-0.86,0.389,-0.063,0.044,2916.12,-1.44,0.151,0.017,0.044,2916.13,0.38,0.702,0.009,0.031,2917.67,0.29,0.775,-0.03,0.031,2917.32,-0.96,0.338
"54514","pain","pain","stim","aIns_R",0.076,0.028,2904.35,2.68,0.007,0.018,0.029,295.04,0.61,0.54,0.008,0.028,2904.1,0.29,0.773,0.007,0.04,2903.73,0.18,0.858,0.071,0.04,2904.81,1.78,0.075,0.002,0.028,2912.07,0.07,0.942,-0.04,0.028,2903.15,-1.41,0.158
"54518","vision","pain","stim","aIns_R",-0.01,0.031,2958.62,-0.33,0.743,-0.055,0.031,2957.42,-1.77,0.077,-0.01,0.031,2958.73,-0.31,0.755,0.008,0.044,2958.01,0.18,0.86,0.037,0.044,2958.43,0.85,0.397,0.007,0.031,2957.23,0.22,0.822,-0.022,0.031,2957.55,-0.71,0.477
"60571","pain","pain","stim","aMCC_MPFC",0.109,0.028,2905.39,3.92,0,-0.01,0.029,243.7,-0.35,0.728,0.001,0.028,2904.97,0.03,0.973,0.031,0.039,2904.76,0.79,0.432,0.04,0.039,2905.54,1.03,0.303,-0.021,0.028,2912.39,-0.75,0.453,-0.029,0.028,2904.1,-1.06,0.291
"60575","vision","pain","stim","aMCC_MPFC",0.014,0.031,2950.76,0.46,0.643,-0.035,0.031,2949.78,-1.14,0.253,-0.012,0.031,2950.89,-0.39,0.695,-0.043,0.044,2950.34,-0.98,0.326,0.003,0.044,2950.48,0.08,0.937,0.019,0.031,2949.65,0.6,0.548,-0.018,0.031,2949.89,-0.59,0.558
"66628","pain","pain","stim","s1_handplus_L",0.133,0.027,2908.47,5,0,-0.033,0.027,357.61,-1.21,0.225,-0.012,0.027,2907.82,-0.46,0.645,0.034,0.038,2907.62,0.9,0.37,0.024,0.038,2908.48,0.63,0.527,-0.02,0.027,2916.25,-0.76,0.445,-0.009,0.027,2907.16,-0.34,0.736
"66632","vision","pain","stim","s1_handplus_L",0.011,0.03,2956.49,0.37,0.713,-0.018,0.03,2955.86,-0.61,0.543,-0.006,0.03,2956.66,-0.21,0.837,-0.058,0.043,2956.34,-1.35,0.176,-0.023,0.043,2956.27,-0.55,0.583,-0.016,0.03,2955.79,-0.54,0.586,-0.003,0.03,2955.88,-0.1,0.924
"72685","pain","pain","stim","s1_handplus_R",0.117,0.026,2948.23,4.49,0,-0.007,0.026,2948.43,-0.27,0.788,-0.009,0.026,2948.75,-0.33,0.738,0.015,0.037,2948.44,0.4,0.689,0.036,0.037,2948.59,0.99,0.324,0.018,0.026,2948.39,0.67,0.5,-0.01,0.026,2948.5,-0.37,0.709
"72689","vision","pain","stim","s1_handplus_R",-0.021,0.031,2946.47,-0.69,0.489,-0.041,0.031,2945.75,-1.33,0.182,0.012,0.031,2946.89,0.39,0.699,-0.103,0.044,2946.34,-2.36,0.018,-0.033,0.044,2946.38,-0.77,0.444,-0.008,0.031,2945.52,-0.26,0.793,0.013,0.031,2945.88,0.41,0.684
"78742","pain","higher_level","stim","Ctx_IPS1_L",0.054,0.029,2948.64,1.87,0.061,-0.055,0.029,2949.03,-1.91,0.056,-0.027,0.029,2949.87,-0.91,0.362,0.046,0.041,2949.11,1.12,0.264,0.036,0.041,2949.46,0.88,0.381,-0.003,0.029,2948.94,-0.11,0.914,-0.03,0.029,2949.19,-1.04,0.3
"78746","vision","higher_level","stim","Ctx_IPS1_L",0.012,0.029,2958.68,0.4,0.691,-0.054,0.029,2958.19,-1.84,0.066,-0.021,0.029,2958.83,-0.71,0.479,-0.03,0.041,2958.55,-0.73,0.468,-0.004,0.041,2958.52,-0.11,0.915,0.029,0.029,2958.11,0.99,0.325,-0.013,0.029,2958.13,-0.43,0.664
"84799","pain","higher_level","stim","Ctx_11l_L",-0.025,0.03,2904.47,-0.85,0.394,-0.031,0.031,292.8,-1.02,0.308,-0.038,0.03,2904.63,-1.29,0.198,0.019,0.042,2903.94,0.46,0.647,0.002,0.042,2904.88,0.04,0.97,0.023,0.03,2911.58,0.79,0.432,0.028,0.03,2903.44,0.95,0.342
"84803","vision","higher_level","stim","Ctx_11l_L",-0.026,0.031,2957.96,-0.85,0.396,-0.027,0.031,2957.28,-0.88,0.378,-0.017,0.031,2958.43,-0.56,0.575,-0.011,0.044,2957.94,-0.25,0.801,-0.028,0.044,2958,-0.64,0.522,0.015,0.031,2956.96,0.5,0.62,0.002,0.031,2957.49,0.05,0.961
"90856","pain","higher_level","stim","Ctx_IPS1_R",0.021,0.03,2906.99,0.69,0.488,-0.061,0.03,304.97,-1.99,0.047,-0.012,0.03,2907.28,-0.41,0.682,0.012,0.042,2906.48,0.29,0.772,0.031,0.042,2907.39,0.74,0.459,-0.009,0.03,2914.69,-0.31,0.754,0.007,0.03,2906,0.22,0.825
"90860","vision","higher_level","stim","Ctx_IPS1_R",0.004,0.029,2956.73,0.14,0.891,-0.052,0.029,2956.23,-1.79,0.074,-0.036,0.029,2956.83,-1.24,0.216,-0.013,0.042,2956.62,-0.31,0.753,0,0.041,2956.48,-0.01,0.991,0.054,0.029,2956.15,1.86,0.064,-0.015,0.029,2956.25,-0.52,0.605
"96913","pain","higher_level","stim","Ctx_p9_46v_R",0.021,0.03,2948.37,0.72,0.473,-0.026,0.03,2948.82,-0.87,0.386,-0.04,0.03,2949.91,-1.34,0.181,0.014,0.042,2948.95,0.34,0.737,-0.007,0.042,2949.38,-0.17,0.868,-0.005,0.03,2948.72,-0.18,0.854,0.024,0.03,2949.02,0.81,0.417
"96917","vision","higher_level","stim","Ctx_p9_46v_R",0.041,0.03,2954.5,1.36,0.174,-0.041,0.03,2953.94,-1.33,0.182,-0.034,0.03,2954.8,-1.11,0.267,0.01,0.043,2954.5,0.23,0.814,-0.063,0.043,2954.47,-1.45,0.147,0.004,0.03,2953.91,0.14,0.885,-0.003,0.03,2954.16,-0.11,0.911
"102970","pain","higher_level","stim","Ctx_11l_R",-0.009,0.03,2948.45,-0.31,0.757,0.017,0.03,2948.9,0.58,0.565,-0.049,0.03,2949.97,-1.64,0.102,0.03,0.042,2949.02,0.72,0.469,-0.011,0.042,2949.45,-0.26,0.793,0.003,0.03,2948.8,0.11,0.916,0.01,0.03,2949.1,0.32,0.748
"102974","vision","higher_level","stim","Ctx_11l_R",0.003,0.031,2949.65,0.08,0.934,-0.027,0.031,2948.94,-0.89,0.374,0.009,0.031,2949.91,0.29,0.775,-0.003,0.044,2949.39,-0.06,0.952,-0.082,0.044,2949.51,-1.87,0.061,-0.01,0.031,2948.7,-0.33,0.74,-0.026,0.031,2949.24,-0.84,0.4
"109027","pain","higher_level","stim","NAc_shell_like_R",0.026,0.03,2907.94,0.87,0.384,0.043,0.031,304.74,1.39,0.166,-0.052,0.03,2908.78,-1.73,0.084,0.038,0.043,2907.67,0.88,0.378,-0.005,0.043,2908.86,-0.11,0.909,0.039,0.03,2915.26,1.31,0.192,0.029,0.03,2907.14,0.95,0.344
"109031","vision","higher_level","stim","NAc_shell_like_R",-0.001,0.031,2959.54,-0.03,0.977,-0.002,0.031,2958.53,-0.07,0.944,0.024,0.031,2960.28,0.77,0.443,-0.015,0.044,2959.04,-0.34,0.733,-0.054,0.044,2959.6,-1.22,0.223,0.062,0.031,2958.19,1.98,0.048,0,0.031,2958.86,0.01,0.991
"115084","pain","higher_level","stim","NAc_core_like_R",0.071,0.029,2904.85,2.39,0.017,0.072,0.03,315.4,2.39,0.018,-0.075,0.029,2904.97,-2.53,0.011,-0.004,0.042,2904.26,-0.11,0.915,-0.046,0.042,2905.34,-1.11,0.269,0.047,0.029,2912.82,1.58,0.114,-0.02,0.029,2903.77,-0.69,0.49
"115088","vision","higher_level","stim","NAc_core_like_R",0.014,0.031,2961.2,0.45,0.654,0.029,0.031,2960.25,0.94,0.347,0.019,0.031,2961.6,0.61,0.541,-0.018,0.044,2960.8,-0.42,0.676,-0.027,0.044,2961.17,-0.62,0.533,0.001,0.031,2959.84,0.03,0.975,0.027,0.031,2960.14,0.86,0.392
"121141","pain","higher_level","stim","NAc_shell_like_L",0.045,0.03,2948.25,1.51,0.131,0.021,0.03,2948.76,0.69,0.49,-0.02,0.03,2950.11,-0.67,0.5,0.032,0.042,2948.93,0.76,0.445,0.004,0.042,2949.45,0.09,0.929,0.045,0.03,2948.63,1.5,0.133,-0.002,0.03,2949,-0.06,0.956
"121145","vision","higher_level","stim","NAc_shell_like_L",0.01,0.031,2965.43,0.33,0.74,-0.013,0.031,2964.41,-0.4,0.688,-0.015,0.031,2966.02,-0.48,0.63,0.001,0.044,2964.83,0.03,0.974,-0.014,0.044,2965.6,-0.33,0.744,0.037,0.031,2964.07,1.18,0.237,0.023,0.031,2964.59,0.73,0.467
"127198","pain","higher_level","stim","NAc_core_like_L",0.033,0.03,2947.91,1.1,0.273,0.054,0.03,2948.41,1.81,0.07,-0.104,0.03,2949.71,-3.47,0.001,0.019,0.042,2948.57,0.44,0.66,-0.031,0.042,2949.08,-0.73,0.465,0.073,0.03,2948.29,2.43,0.015,-0.006,0.03,2948.64,-0.2,0.841
"127202","vision","higher_level","stim","NAc_core_like_L",0.026,0.031,2968.73,0.85,0.398,0.005,0.031,2967.71,0.15,0.88,0.022,0.031,2968.71,0.71,0.475,-0.038,0.044,2968.14,-0.86,0.388,-0.057,0.043,2968.5,-1.31,0.189,0.033,0.031,2967.5,1.08,0.28,0.059,0.031,2967.73,1.93,0.053
"133255","pain","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",0.098,0.03,2948.47,3.31,0.001,-0.022,0.03,2948.92,-0.76,0.447,-0.03,0.03,2949.98,-1.02,0.307,0.011,0.042,2949.04,0.26,0.798,0.01,0.042,2949.47,0.25,0.801,0.001,0.03,2948.82,0.05,0.961,0.014,0.03,2949.12,0.48,0.631
"133259","vision","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",0.016,0.031,2952.56,0.53,0.595,-0.018,0.031,2951.84,-0.57,0.568,-0.019,0.031,2952.78,-0.61,0.541,-0.025,0.044,2952.42,-0.58,0.564,-0.052,0.043,2952.37,-1.2,0.229,0.003,0.031,2951.63,0.09,0.925,0.015,0.031,2951.93,0.49,0.625
"139312","pain","visual","stim","Ctx_V1_L",0.108,0.029,2908.45,3.78,0,-0.023,0.029,341.27,-0.81,0.421,-0.023,0.029,2908.28,-0.81,0.418,0.031,0.04,2907.78,0.76,0.445,0.005,0.04,2908.67,0.11,0.908,0.04,0.029,2916.1,1.39,0.164,-0.025,0.029,2907.34,-0.86,0.387
"139316","vision","visual","stim","Ctx_V1_L",0.053,0.029,2950.96,1.83,0.067,-0.037,0.029,2950.41,-1.27,0.204,-0.011,0.029,2950.97,-0.39,0.696,-0.059,0.041,2950.76,-1.43,0.153,-0.008,0.041,2950.6,-0.21,0.838,0.027,0.029,2950.37,0.94,0.348,-0.031,0.029,2950.4,-1.06,0.289
"145369","pain","visual","stim","Ctx_V2_L",0.111,0.029,2948.39,3.88,0,-0.029,0.029,2948.75,-1.01,0.312,-0.022,0.029,2949.46,-0.77,0.443,0.019,0.041,2948.81,0.46,0.644,-0.015,0.04,2949.11,-0.37,0.71,0.041,0.029,2948.67,1.44,0.151,-0.032,0.029,2948.89,-1.1,0.27
"145373","vision","visual","stim","Ctx_V2_L",0.064,0.029,2952.96,2.2,0.028,-0.032,0.029,2952.43,-1.09,0.275,0.003,0.029,2952.97,0.11,0.916,-0.079,0.041,2952.75,-1.92,0.056,-0.044,0.041,2952.63,-1.08,0.282,0.025,0.029,2952.39,0.85,0.395,-0.021,0.029,2952.42,-0.74,0.46
"151426","pain","visual","stim","Ctx_V3_L",0.09,0.028,2908.65,3.18,0.001,-0.018,0.029,297.77,-0.61,0.545,-0.028,0.028,2908.38,-1,0.317,0.038,0.04,2908.02,0.95,0.345,-0.017,0.04,2908.74,-0.42,0.672,0.042,0.028,2915.66,1.49,0.136,-0.023,0.028,2907.51,-0.82,0.414
"151430","vision","visual","stim","Ctx_V3_L",0.067,0.028,2955.89,2.39,0.017,-0.046,0.028,2955.45,-1.62,0.106,0.012,0.028,2955.89,0.42,0.672,-0.086,0.04,2955.73,-2.15,0.032,-0.062,0.04,2955.63,-1.54,0.123,0,0.028,2955.42,-0.01,0.993,-0.014,0.028,2955.43,-0.48,0.631
"157483","pain","visual","stim","Ctx_V4_L",0.05,0.029,2909.06,1.73,0.084,-0.031,0.03,314.92,-1.05,0.294,-0.018,0.029,2908.99,-0.62,0.534,0.047,0.041,2908.44,1.15,0.251,0.013,0.041,2909.22,0.32,0.745,0.018,0.029,2916.49,0.61,0.539,-0.037,0.029,2908,-1.27,0.204
"157487","vision","visual","stim","Ctx_V4_L",0.02,0.025,2959.45,0.81,0.421,-0.032,0.025,2959.23,-1.28,0.201,-0.012,0.025,2959.46,-0.49,0.624,-0.072,0.036,2959.4,-2.01,0.045,-0.054,0.036,2959.32,-1.52,0.13,0.006,0.025,2959.21,0.25,0.805,0.008,0.025,2959.23,0.33,0.74
"163540","pain","visual","stim","Ctx_V3A_L",0.106,0.029,2903.01,3.63,0,-0.012,0.032,213.7,-0.37,0.711,-0.018,0.029,2903.22,-0.63,0.53,0.006,0.041,2902.76,0.15,0.881,0.012,0.041,2903.32,0.3,0.768,0.033,0.029,2908.81,1.13,0.259,-0.053,0.029,2902.06,-1.82,0.07
"163544","vision","visual","stim","Ctx_V3A_L",0.043,0.028,2955.51,1.57,0.115,-0.012,0.028,2955.17,-0.45,0.653,-0.003,0.028,2955.52,-0.1,0.92,-0.101,0.039,2955.41,-2.57,0.01,-0.052,0.039,2955.33,-1.33,0.184,-0.022,0.028,2955.12,-0.82,0.415,-0.004,0.028,2955.17,-0.13,0.898
"169597","pain","visual","stim","Ctx_V3B_L",0.057,0.029,2948.4,1.95,0.051,-0.014,0.029,2948.77,-0.49,0.625,-0.01,0.029,2949.57,-0.35,0.724,0.033,0.041,2948.85,0.81,0.416,0.024,0.041,2949.18,0.59,0.552,-0.01,0.029,2948.69,-0.36,0.719,-0.041,0.029,2948.93,-1.43,0.153
"169601","vision","visual","stim","Ctx_V3B_L",0.007,0.028,2960.86,0.24,0.811,-0.019,0.028,2960.47,-0.68,0.494,-0.024,0.028,2960.84,-0.88,0.379,-0.055,0.039,2960.72,-1.4,0.163,-0.023,0.039,2960.6,-0.58,0.562,-0.003,0.028,2960.44,-0.11,0.911,0.018,0.028,2960.48,0.64,0.523
"175654","pain","visual","stim","Ctx_MT_L",0.103,0.029,2947.69,3.6,0,-0.03,0.029,2948.02,-1.06,0.29,0.008,0.029,2948.69,0.29,0.77,0.035,0.04,2948.08,0.87,0.383,0.059,0.04,2948.36,1.46,0.144,0.015,0.029,2947.95,0.52,0.604,0.024,0.029,2948.16,0.84,0.4
"175658","vision","visual","stim","Ctx_MT_L",-0.018,0.029,2961.1,-0.63,0.531,-0.015,0.029,2960.67,-0.51,0.607,-0.036,0.029,2961.18,-1.24,0.215,-0.091,0.041,2961.03,-2.22,0.027,-0.039,0.041,2960.89,-0.95,0.344,0.012,0.029,2960.6,0.43,0.666,0.044,0.029,2960.68,1.53,0.126
"181711","pain","visual","stim","Ctx_VMV1_L",0.094,0.029,2948.28,3.2,0.001,-0.04,0.029,2948.69,-1.36,0.175,0.01,0.029,2949.6,0.33,0.74,0.021,0.041,2948.78,0.51,0.612,0.016,0.041,2949.15,0.38,0.703,0.012,0.029,2948.6,0.42,0.673,-0.055,0.029,2948.86,-1.89,0.059
"181715","vision","visual","stim","Ctx_VMV1_L",0.007,0.03,2915.63,0.25,0.806,-0.017,0.031,330.47,-0.55,0.585,0.033,0.03,2914.96,1.09,0.275,-0.026,0.043,2915.2,-0.62,0.537,0.005,0.043,2914.59,0.12,0.903,-0.017,0.03,2916.28,-0.56,0.577,0.014,0.03,2917.31,0.48,0.632
"187768","pain","visual","stim","Ctx_VMV3_L",0.061,0.029,2948.24,2.14,0.033,-0.016,0.029,2948.59,-0.55,0.585,0.016,0.029,2949.28,0.57,0.571,0,0.041,2948.65,0,0.996,0.013,0.04,2948.94,0.31,0.754,0.024,0.029,2948.51,0.83,0.409,-0.031,0.029,2948.72,-1.07,0.286
