"","modality","type","period","brain_measure","stim_int_estimate","stim_int_SE","stim_int_DF","stim_int_t","stim_int_p","cue_mean_estimate","cue_mean_SE","cue_mean_DF","cue_mean_t","cue_mean_p","cue_var_estimate","cue_var_SE","cue_var_DF","cue_var_t","cue_var_p","cue_sk_neg_sym_estimate","cue_sk_neg_sym_SE","cue_sk_neg_sym_DF","cue_sk_neg_sym_t","cue_sk_neg_sym_p","cue_sk_pos_sym_estimate","cue_sk_pos_sym_SE","cue_sk_pos_sym_DF","cue_sk_pos_sym_t","cue_sk_pos_sym_p","cue_mean_X_var_estimate","cue_mean_X_var_SE","cue_mean_X_var_DF","cue_mean_X_var_t","cue_mean_X_var_p","stim_int_X_cue_mean_estimate","stim_int_X_cue_mean_SE","stim_int_X_cue_mean_DF","stim_int_X_cue_mean_t","stim_int_X_cue_mean_p"
"187772","vision","visual","stim","Ctx_VMV3_L",0.027,0.028,2962.73,0.98,0.326,-0.027,0.028,2962.46,-0.97,0.33,-0.012,0.028,2962.84,-0.45,0.651,-0.057,0.039,2962.75,-1.45,0.147,-0.033,0.039,2962.61,-0.84,0.403,0.006,0.028,2962.41,0.23,0.819,-0.019,0.028,2962.48,-0.7,0.482
"193825","pain","visual","stim","Ctx_V4t_L",0.05,0.029,2947.29,1.73,0.084,-0.011,0.029,2947.67,-0.38,0.705,0,0.029,2948.46,0.01,0.995,0.047,0.041,2947.74,1.14,0.254,0.02,0.041,2948.07,0.49,0.622,0.027,0.029,2947.59,0.93,0.35,0.016,0.029,2947.82,0.55,0.585
"193829","vision","visual","stim","Ctx_V4t_L",-0.002,0.027,2961.34,-0.07,0.945,-0.022,0.027,2961.11,-0.84,0.398,-0.041,0.027,2961.41,-1.54,0.125,-0.062,0.038,2961.32,-1.64,0.101,-0.056,0.038,2961.21,-1.48,0.138,0.02,0.027,2961.07,0.73,0.463,0.026,0.027,2961.11,0.97,0.334
"199882","pain","visual","stim","Ctx_V3CD_L",0.044,0.029,2906.95,1.51,0.132,-0.031,0.03,296.19,-1.01,0.311,-0.021,0.029,2906.98,-0.71,0.476,0.048,0.041,2906.35,1.17,0.241,0.027,0.041,2907.19,0.65,0.516,0.028,0.029,2914.59,0.97,0.333,-0.018,0.029,2905.86,-0.61,0.543
"199886","vision","visual","stim","Ctx_V3CD_L",0.001,0.026,2960.57,0.06,0.955,-0.015,0.026,2960.3,-0.56,0.575,-0.038,0.026,2960.56,-1.48,0.139,-0.02,0.037,2960.48,-0.54,0.588,-0.035,0.037,2960.38,-0.94,0.346,0.013,0.026,2960.27,0.51,0.609,-0.008,0.026,2960.3,-0.3,0.765
"205939","pain","visual","stim","Ctx_VMV2_L",0.051,0.029,2948.32,1.73,0.084,-0.023,0.029,2948.72,-0.79,0.432,0.026,0.029,2949.58,0.89,0.375,0.01,0.041,2948.81,0.25,0.803,0.009,0.041,2949.16,0.22,0.823,0.03,0.029,2948.63,1.02,0.307,-0.025,0.029,2948.88,-0.84,0.402
"205943","vision","visual","stim","Ctx_VMV2_L",-0.021,0.029,2959.16,-0.73,0.466,-0.026,0.029,2958.67,-0.91,0.36,-0.02,0.029,2959.18,-0.7,0.486,-0.006,0.041,2959,-0.16,0.876,-0.024,0.041,2958.88,-0.58,0.564,-0.011,0.029,2958.6,-0.38,0.702,-0.008,0.029,2958.68,-0.26,0.793
"211996","pain","visual","stim","Ctx_V1_R",0.108,0.029,2908.83,3.77,0,-0.002,0.03,315.7,-0.07,0.943,-0.018,0.029,2908.75,-0.61,0.539,0.045,0.041,2908.26,1.12,0.264,0.016,0.041,2909.11,0.39,0.694,0.017,0.029,2916,0.58,0.559,0,0.029,2907.76,-0.02,0.987
"212000","vision","visual","stim","Ctx_V1_R",0.059,0.029,2946.97,2.04,0.041,-0.017,0.029,2946.41,-0.58,0.563,0.022,0.029,2946.97,0.78,0.438,-0.054,0.041,2946.75,-1.32,0.187,-0.009,0.041,2946.64,-0.23,0.821,0.022,0.029,2946.34,0.75,0.456,-0.032,0.029,2946.43,-1.11,0.269
"218053","pain","visual","stim","Ctx_V2_R",0.121,0.029,2908.99,4.21,0,-0.02,0.03,290.79,-0.68,0.498,-0.015,0.029,2908.92,-0.51,0.609,0.04,0.041,2908.45,1,0.32,0.01,0.041,2909.2,0.26,0.796,0.03,0.029,2915.89,1.04,0.298,-0.004,0.029,2907.93,-0.14,0.89
"218057","vision","visual","stim","Ctx_V2_R",0.054,0.028,2956.55,1.89,0.058,-0.023,0.028,2956.09,-0.8,0.423,0.013,0.028,2956.54,0.46,0.646,-0.072,0.04,2956.4,-1.8,0.072,-0.034,0.04,2956.28,-0.84,0.401,0.015,0.028,2956.03,0.51,0.608,-0.021,0.028,2956.1,-0.74,0.461
"224110","pain","visual","stim","Ctx_V3_R",0.076,0.029,2908.59,2.66,0.008,-0.017,0.031,243.33,-0.54,0.586,-0.033,0.029,2908.56,-1.14,0.256,0.056,0.041,2908.16,1.37,0.171,0.005,0.04,2908.79,0.13,0.897,0.045,0.029,2914.74,1.56,0.12,-0.002,0.029,2907.56,-0.06,0.951
"224114","vision","visual","stim","Ctx_V3_R",0.055,0.027,2961.27,2,0.046,-0.021,0.027,2960.91,-0.77,0.439,0.024,0.027,2961.27,0.87,0.386,-0.102,0.039,2961.16,-2.63,0.009,-0.049,0.039,2961.05,-1.26,0.207,-0.004,0.027,2960.87,-0.13,0.897,-0.018,0.027,2960.92,-0.67,0.505
"230167","pain","visual","stim","Ctx_V4_R",0.05,0.029,2908.88,1.72,0.085,-0.002,0.031,250.36,-0.08,0.936,-0.027,0.029,2908.86,-0.94,0.347,0.032,0.041,2908.42,0.78,0.433,0.01,0.041,2909.06,0.24,0.809,0.038,0.029,2915.25,1.33,0.183,0.007,0.029,2907.86,0.24,0.813
"230171","vision","visual","stim","Ctx_V4_R",0.035,0.027,2953.52,1.3,0.193,-0.023,0.027,2953.23,-0.84,0.402,-0.009,0.027,2953.57,-0.32,0.747,-0.099,0.038,2953.49,-2.58,0.01,-0.061,0.038,2953.36,-1.59,0.111,0.004,0.027,2953.21,0.13,0.894,-0.005,0.027,2953.23,-0.18,0.857
"236224","pain","visual","stim","Ctx_V3A_R",0.061,0.028,2907.43,2.17,0.03,-0.002,0.031,221.36,-0.08,0.937,-0.021,0.028,2907.22,-0.76,0.449,0.003,0.04,2906.89,0.07,0.945,0.005,0.04,2907.45,0.13,0.9,0.047,0.028,2913.82,1.67,0.095,-0.012,0.028,2906.29,-0.43,0.67
"236228","vision","visual","stim","Ctx_V3A_R",0.041,0.027,2958.02,1.54,0.124,-0.014,0.027,2957.73,-0.54,0.59,0.014,0.027,2958.02,0.54,0.59,-0.087,0.038,2957.94,-2.3,0.021,-0.04,0.038,2957.85,-1.05,0.292,0,0.027,2957.71,0.02,0.987,-0.003,0.027,2957.74,-0.11,0.911
"242281","pain","visual","stim","Ctx_V3B_R",0.023,0.029,2948.2,0.79,0.43,-0.049,0.029,2948.54,-1.73,0.084,-0.003,0.029,2949.2,-0.11,0.909,0.01,0.04,2948.6,0.24,0.813,0.027,0.04,2948.88,0.66,0.509,-0.001,0.029,2948.47,-0.02,0.984,-0.002,0.029,2948.67,-0.05,0.958
"242285","vision","visual","stim","Ctx_V3B_R",0.033,0.029,2961.94,1.13,0.26,-0.046,0.029,2961.43,-1.58,0.114,-0.013,0.029,2961.97,-0.44,0.657,-0.046,0.041,2961.78,-1.13,0.26,-0.029,0.041,2961.67,-0.71,0.476,0.04,0.029,2961.36,1.39,0.164,0.012,0.029,2961.44,0.42,0.672
"248338","pain","visual","stim","Ctx_MT_R",0.084,0.029,2938.14,2.9,0.004,-0.021,0.029,2938.52,-0.71,0.479,-0.011,0.029,2939.33,-0.37,0.715,-0.02,0.041,2938.63,-0.49,0.626,-0.007,0.041,2938.95,-0.16,0.87,0.019,0.029,2938.44,0.64,0.519,-0.002,0.029,2938.68,-0.06,0.953
"248342","vision","visual","stim","Ctx_MT_R",-0.003,0.029,2956.98,-0.1,0.922,0.002,0.029,2956.52,0.06,0.954,-0.028,0.029,2957.03,-0.99,0.321,-0.048,0.041,2956.93,-1.17,0.242,-0.021,0.041,2956.79,-0.51,0.608,0.027,0.029,2956.46,0.94,0.349,-0.008,0.029,2956.53,-0.27,0.784
"254395","pain","visual","stim","Ctx_VMV1_R",0.098,0.029,2907.07,3.34,0.001,-0.02,0.031,257.75,-0.64,0.522,0,0.029,2907.36,0,0.998,0.005,0.041,2906.78,0.12,0.907,0.012,0.041,2907.67,0.3,0.764,0.016,0.029,2913.43,0.55,0.583,-0.002,0.029,2906.14,-0.08,0.935
"254399","vision","visual","stim","Ctx_VMV1_R",0.023,0.03,2955.58,0.79,0.432,0.02,0.03,2954.84,0.66,0.51,-0.013,0.03,2955.59,-0.43,0.668,-0.035,0.042,2955.44,-0.82,0.413,-0.012,0.042,2955.22,-0.28,0.78,-0.018,0.03,2954.74,-0.61,0.542,0.005,0.03,2954.9,0.18,0.856
"260452","pain","visual","stim","Ctx_VMV3_R",0.073,0.028,2907.6,2.58,0.01,-0.02,0.029,328.13,-0.69,0.491,0.035,0.028,2907.41,1.22,0.221,-0.019,0.04,2906.95,-0.47,0.637,0.042,0.04,2907.77,1.05,0.295,0.038,0.028,2914.78,1.34,0.181,0.005,0.028,2906.49,0.16,0.87
"260456","vision","visual","stim","Ctx_VMV3_R",0.033,0.028,2910.97,1.16,0.247,-0.014,0.029,319.82,-0.48,0.629,0.016,0.028,2910.07,0.55,0.582,-0.078,0.04,2910.3,-1.93,0.053,-0.046,0.04,2910.47,-1.15,0.249,0,0.028,2912.54,0.02,0.987,-0.014,0.028,2913.01,-0.49,0.624
"266509","pain","visual","stim","Ctx_V4t_R",0.053,0.031,249.52,1.69,0.092,-0.016,0.031,279.04,-0.51,0.613,-0.013,0.03,2857.14,-0.45,0.653,0,0.042,2855.72,0.01,0.995,0.056,0.042,2856.39,1.36,0.175,0.027,0.029,2863.93,0.9,0.366,0.013,0.029,2855.36,0.43,0.67
"266513","vision","visual","stim","Ctx_V4t_R",0.001,0.029,2952.87,0.04,0.968,0.008,0.029,2952.42,0.26,0.792,-0.021,0.029,2952.88,-0.73,0.466,-0.062,0.04,2952.7,-1.52,0.128,-0.042,0.04,2952.62,-1.05,0.293,0.048,0.029,2952.38,1.67,0.095,0.002,0.029,2952.4,0.05,0.957
"272566","pain","visual","stim","Ctx_V3CD_R",0.015,0.029,2907.76,0.52,0.6,-0.022,0.031,248.61,-0.72,0.472,0.006,0.029,2907.74,0.19,0.846,0.002,0.041,2907.29,0.06,0.956,0.014,0.041,2907.98,0.33,0.74,0.039,0.029,2914.3,1.36,0.174,0.012,0.029,2906.7,0.4,0.687
"272570","vision","visual","stim","Ctx_V3CD_R",0.032,0.026,2946.23,1.23,0.219,-0.022,0.026,2945.96,-0.85,0.393,-0.046,0.026,2946.21,-1.76,0.079,-0.064,0.037,2946.22,-1.74,0.083,-0.052,0.037,2946.07,-1.41,0.16,0.031,0.026,2945.96,1.19,0.234,0.021,0.026,2945.96,0.81,0.416
"278623","pain","visual","stim","Ctx_VMV2_R",0.063,0.029,2909.01,2.18,0.029,-0.026,0.029,356.45,-0.88,0.378,0.032,0.029,2908.97,1.1,0.271,-0.015,0.041,2908.4,-0.36,0.716,0.032,0.041,2909.36,0.79,0.428,0,0.029,2916.77,0,0.999,-0.013,0.029,2907.95,-0.46,0.645
"278627","vision","visual","stim","Ctx_VMV2_R",0.018,0.03,234.83,0.58,0.564,-0.005,0.03,266.14,-0.18,0.857,0.013,0.029,2875.07,0.45,0.65,-0.068,0.04,2874.72,-1.68,0.094,-0.039,0.04,2880.48,-0.96,0.339,-0.026,0.029,2875.68,-0.91,0.362,-0.005,0.029,2877.07,-0.16,0.874
"284680","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",0.059,0.031,665.82,1.89,0.059,-0.006,0.032,246.98,-0.18,0.858,-0.023,0.03,2908.7,-0.77,0.441,-0.043,0.043,2907.65,-1.02,0.309,-0.012,0.042,2908.71,-0.28,0.779,0,0.03,2914.56,0.01,0.988,0.02,0.03,2906.86,0.68,0.497
"284684","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",-0.03,0.031,2963.74,-0.97,0.332,0.01,0.031,2962.79,0.34,0.736,0.011,0.031,2963.8,0.37,0.712,0.027,0.044,2963.32,0.63,0.531,-0.005,0.043,2963.66,-0.12,0.902,0.025,0.031,2962.66,0.81,0.418,-0.023,0.031,2962.81,-0.75,0.456
"290737","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.098,0.03,2948.62,3.25,0.001,0.009,0.03,2949.14,0.28,0.776,0.008,0.03,2950.51,0.27,0.789,-0.052,0.042,2949.32,-1.22,0.224,-0.016,0.042,2949.84,-0.37,0.713,-0.032,0.03,2949.01,-1.07,0.286,-0.028,0.03,2949.38,-0.94,0.349
"290741","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.024,0.031,2926.39,0.78,0.438,0.013,0.031,308.47,0.41,0.683,0.012,0.031,2926.08,0.4,0.687,0.009,0.043,2925.95,0.21,0.837,0.01,0.043,2925.75,0.23,0.819,0.012,0.031,2927.36,0.38,0.702,-0.014,0.031,2927.13,-0.46,0.646
"296794","pain","neuromarker","cue","nps",0.015,0.029,2880.09,0.5,0.614,0.088,0.031,268.48,2.86,0.005,0.029,0.029,2881.32,0.97,0.333,-0.023,0.042,2879.82,-0.56,0.575,-0.031,0.041,2880.77,-0.75,0.453,-0.007,0.029,2890.52,-0.22,0.823,-0.019,0.029,2879.5,-0.66,0.512
"296798","vision","neuromarker","cue","nps",-0.03,0.03,2954.22,-1,0.318,-0.002,0.03,2953.63,-0.06,0.95,0.014,0.03,2955.17,0.46,0.643,-0.083,0.042,2954.58,-1.96,0.05,0.008,0.042,2954.45,0.2,0.844,0.02,0.03,2953.52,0.69,0.493,-0.01,0.03,2953.64,-0.35,0.729
"302851","pain","neuromarker","cue","siips",-0.059,0.029,2917.07,-2.02,0.043,0.033,0.029,2917.46,1.11,0.266,0.041,0.029,2918.97,1.39,0.165,-0.005,0.042,2917.99,-0.12,0.907,-0.003,0.041,2918.32,-0.08,0.934,0.017,0.029,2917.38,0.59,0.552,0.035,0.029,2917.63,1.18,0.24
"302855","vision","neuromarker","cue","siips",-0.04,0.031,2939.38,-1.3,0.194,0.06,0.031,2938.68,1.96,0.05,-0.038,0.031,2940.93,-1.23,0.22,-0.002,0.044,2940.02,-0.06,0.955,0.062,0.043,2939.99,1.43,0.154,0.033,0.031,2938.49,1.06,0.289,-0.038,0.031,2938.91,-1.25,0.212
"308908","pain","pain","cue","Thal_VPLM_R",-0.016,0.03,2939.07,-0.52,0.604,0.024,0.03,2939.58,0.8,0.426,-0.015,0.03,2940.96,-0.5,0.618,0.053,0.043,2939.7,1.24,0.215,-0.066,0.042,2940.27,-1.56,0.119,-0.022,0.03,2939.45,-0.71,0.475,0.009,0.03,2939.83,0.29,0.774
"308912","vision","pain","cue","Thal_VPLM_R",-0.045,0.031,2957.52,-1.45,0.146,-0.051,0.031,2957.02,-1.66,0.098,0.061,0.031,2957.92,2,0.046,0.034,0.044,2957.48,0.78,0.436,-0.012,0.043,2957.67,-0.27,0.788,0.024,0.031,2956.8,0.78,0.438,-0.046,0.031,2956.94,-1.5,0.134
"314965","pain","pain","cue","Thal_VPLM_L",-0.002,0.03,2898.45,-0.08,0.938,0.06,0.03,317.54,1.95,0.052,0.033,0.03,2898.59,1.12,0.264,-0.005,0.042,2897.63,-0.11,0.911,0.011,0.042,2898.65,0.27,0.786,0.026,0.03,2906.29,0.86,0.389,-0.017,0.03,2897.22,-0.56,0.576
"314969","vision","pain","cue","Thal_VPLM_L",-0.038,0.03,2964.39,-1.27,0.205,-0.014,0.03,2963.58,-0.47,0.639,0.063,0.03,2964.48,2.07,0.038,0.018,0.043,2964.06,0.42,0.675,0.018,0.043,2964.03,0.42,0.678,-0.003,0.03,2963.36,-0.09,0.931,-0.022,0.03,2963.6,-0.72,0.472
"321022","pain","pain","cue","Thal_MD",-0.026,0.03,1932.06,-0.87,0.386,0.031,0.03,289.27,1.02,0.309,-0.005,0.029,2886.39,-0.18,0.854,0.009,0.041,2885.12,0.23,0.822,-0.067,0.041,2886.49,-1.63,0.104,-0.02,0.029,2893.6,-0.68,0.497,0.005,0.029,2884.87,0.17,0.861
"321026","vision","pain","cue","Thal_MD",0.009,0.03,2958.37,0.3,0.768,0.003,0.03,2957.68,0.11,0.912,0.031,0.03,2958.51,1.03,0.304,0.012,0.043,2958.12,0.28,0.78,-0.03,0.043,2958.07,-0.71,0.479,0.002,0.03,2957.54,0.05,0.959,0.02,0.03,2957.7,0.67,0.5
"327079","pain","pain","cue","Bstem_PAG",0.041,0.031,2932.78,1.33,0.185,0.06,0.031,2933.42,1.97,0.049,0.057,0.031,2935.27,1.86,0.063,-0.042,0.043,2933.6,-0.97,0.33,-0.087,0.043,2934.52,-2.03,0.043,-0.046,0.031,2933.21,-1.52,0.13,0.01,0.031,2933.7,0.32,0.748
"327083","vision","pain","cue","Bstem_PAG",0.011,0.031,2962.69,0.37,0.714,-0.031,0.031,2961.31,-1.01,0.312,0.036,0.031,2962.57,1.16,0.246,-0.008,0.044,2961.65,-0.17,0.862,0.011,0.044,2962.35,0.24,0.811,0.01,0.031,2960.97,0.31,0.76,0.006,0.031,2961.34,0.18,0.858
"333136","pain","pain","cue","dpIns_L",0.017,0.029,2880.89,0.58,0.559,0.063,0.03,256.15,2.08,0.039,0.003,0.029,2882.27,0.09,0.931,-0.005,0.041,2880.34,-0.13,0.897,0.015,0.041,2881.64,0.36,0.719,-0.012,0.029,2888.12,-0.4,0.689,-0.014,0.029,2879.67,-0.49,0.624
"333140","vision","pain","cue","dpIns_L",-0.034,0.03,2954.45,-1.12,0.263,-0.012,0.03,2953.62,-0.39,0.697,0.04,0.03,2954.48,1.33,0.183,-0.001,0.043,2954.13,-0.02,0.986,0.03,0.043,2954.13,0.71,0.478,0.002,0.03,2953.48,0.06,0.956,0.012,0.03,2953.64,0.41,0.684
"339193","pain","pain","cue","dpIns_R",0.027,0.029,2879.85,0.91,0.365,0.067,0.031,267.78,2.18,0.03,0.018,0.029,2880.19,0.62,0.535,0.035,0.041,2878.64,0.84,0.398,0.011,0.041,2879.96,0.28,0.781,0.002,0.029,2887.03,0.07,0.941,0.006,0.029,2878.52,0.22,0.828
"339197","vision","pain","cue","dpIns_R",-0.051,0.031,2955.67,-1.66,0.098,-0.037,0.031,2954.6,-1.2,0.231,0.045,0.031,2955.52,1.48,0.14,-0.023,0.043,2955.09,-0.54,0.588,0.04,0.043,2955.19,0.93,0.354,0.013,0.031,2954.37,0.43,0.67,-0.007,0.031,2954.56,-0.23,0.816
"345250","pain","pain","cue","aIns_L",0.013,0.029,2884.67,0.46,0.643,0.085,0.033,182.93,2.59,0.01,-0.02,0.029,2885.24,-0.68,0.494,-0.031,0.041,2884.32,-0.75,0.455,-0.032,0.041,2885.12,-0.79,0.429,-0.025,0.029,2890.42,-0.85,0.394,0,0.029,2883.68,0.01,0.988
"345254","vision","pain","cue","aIns_L",-0.003,0.031,1916.37,-0.11,0.913,-0.055,0.032,268.97,-1.73,0.084,0.029,0.03,2905.95,0.96,0.337,0.011,0.043,2906.15,0.26,0.793,-0.01,0.043,2905.73,-0.22,0.823,-0.008,0.03,2906.86,-0.27,0.785,0.022,0.03,2908.03,0.71,0.476
"351307","pain","pain","cue","aIns_R",-0.01,0.029,2885.98,-0.35,0.728,0.071,0.031,229.19,2.29,0.023,-0.003,0.029,2886.35,-0.11,0.916,-0.052,0.041,2885.35,-1.27,0.204,-0.067,0.041,2886.3,-1.65,0.098,-0.047,0.029,2892.69,-1.64,0.102,-0.035,0.029,2884.81,-1.23,0.22
"351311","vision","pain","cue","aIns_R",0.027,0.03,2917.73,0.89,0.372,-0.06,0.032,254.22,-1.87,0.062,0.042,0.03,2917.32,1.38,0.168,-0.007,0.043,2917.12,-0.16,0.876,0.004,0.043,2917.35,0.08,0.935,0.001,0.03,2918.49,0.02,0.981,0.013,0.03,2918.69,0.42,0.672
"357364","pain","pain","cue","aMCC_MPFC",-0.005,0.029,2885.72,-0.18,0.858,0.078,0.029,304.46,2.68,0.008,0.024,0.029,2885.92,0.83,0.409,-0.035,0.04,2884.91,-0.86,0.39,-0.066,0.04,2886.25,-1.65,0.099,-0.011,0.029,2894.1,-0.38,0.701,-0.037,0.029,2884.38,-1.28,0.2
"357368","vision","pain","cue","aMCC_MPFC",-0.013,0.03,2951.25,-0.42,0.678,-0.044,0.03,2950.52,-1.46,0.144,0.027,0.03,2951.38,0.89,0.372,0.023,0.043,2951.04,0.53,0.599,0.026,0.043,2951.06,0.62,0.538,-0.005,0.03,2950.32,-0.18,0.856,0.001,0.03,2950.48,0.04,0.967
"363421","pain","pain","cue","s1_handplus_L",0.029,0.029,2931.83,1.01,0.314,0.041,0.029,2932.17,1.42,0.155,0.031,0.029,2932.87,1.08,0.281,0.008,0.041,2932.2,0.2,0.838,-0.003,0.041,2932.49,-0.06,0.949,0,0.029,2932.15,-0.01,0.99,-0.002,0.029,2932.31,-0.09,0.932
"363425","vision","pain","cue","s1_handplus_L",-0.02,0.03,2959.8,-0.67,0.502,-0.017,0.03,2959.21,-0.57,0.572,0.052,0.03,2960.03,1.72,0.086,0.009,0.043,2959.54,0.2,0.838,-0.004,0.043,2959.6,-0.09,0.931,-0.023,0.03,2958.9,-0.75,0.455,-0.039,0.03,2958.95,-1.3,0.193
"369478","pain","pain","cue","s1_handplus_R",0.036,0.029,2932.74,1.24,0.216,0.042,0.029,2933.14,1.43,0.152,-0.001,0.029,2933.91,-0.05,0.964,0.004,0.041,2933.16,0.09,0.93,0.015,0.041,2933.5,0.36,0.716,0.028,0.029,2933.11,0.98,0.33,-0.022,0.029,2933.26,-0.74,0.46
"369482","vision","pain","cue","s1_handplus_R",-0.034,0.03,2955.88,-1.11,0.265,-0.006,0.03,2955.1,-0.21,0.833,0.045,0.03,2956.23,1.49,0.136,-0.046,0.043,2955.65,-1.06,0.288,-0.031,0.043,2955.61,-0.72,0.472,-0.014,0.03,2954.92,-0.48,0.634,-0.007,0.03,2954.97,-0.22,0.827
"375535","pain","higher_level","cue","Ctx_IPS1_L",0.02,0.031,244.72,0.64,0.523,0.005,0.031,222.63,0.15,0.877,0.04,0.029,2851.85,1.4,0.16,-0.022,0.04,2850.73,-0.55,0.582,-0.025,0.04,2851.39,-0.61,0.544,-0.008,0.029,2859.11,-0.27,0.784,-0.011,0.029,2850.8,-0.38,0.708
"375539","vision","higher_level","cue","Ctx_IPS1_L",0.007,0.03,2962.65,0.24,0.808,-0.063,0.03,2962,-2.12,0.034,0.042,0.03,2962.78,1.39,0.163,0.041,0.042,2962.68,0.97,0.334,0.008,0.042,2962.44,0.19,0.851,-0.041,0.03,2961.98,-1.36,0.174,0.011,0.03,2962.12,0.36,0.718
"381592","pain","higher_level","cue","Ctx_11l_L",-0.029,0.032,256.36,-0.91,0.364,-0.024,0.031,280.51,-0.78,0.434,-0.026,0.03,2849.02,-0.86,0.392,-0.01,0.043,2846.62,-0.23,0.818,-0.007,0.043,2848.23,-0.15,0.877,-0.008,0.03,2856.37,-0.26,0.797,-0.013,0.03,2846.52,-0.43,0.669
"381596","vision","higher_level","cue","Ctx_11l_L",-0.019,0.03,2944.46,-0.64,0.524,-0.038,0.03,2943.63,-1.26,0.208,0.018,0.03,2944.42,0.61,0.542,-0.068,0.043,2944.2,-1.57,0.117,-0.058,0.043,2944.05,-1.34,0.18,-0.037,0.03,2943.78,-1.22,0.224,0.024,0.03,2943.72,0.81,0.419
"387649","pain","higher_level","cue","Ctx_IPS1_R",0.019,0.03,290.09,0.63,0.529,0.031,0.031,222.13,0.99,0.322,0.044,0.029,2857.58,1.54,0.124,0.054,0.04,2856.67,1.35,0.177,-0.007,0.04,2857.52,-0.17,0.864,-0.026,0.029,2864.89,-0.91,0.362,-0.006,0.029,2856.49,-0.2,0.838
