Subject ID: PPRI,FOP1,FOP2,FOP3,FOP4,FOP5,FOP6,FOP7,FOP8,FOP9,FOP10,FOP11,FOP12,FOP13,FOP14,FOP15,FOP16,FOP17,FOP18,FOP19,FOP20,FOP21,FOP22,FOP23,FOP24,FOP25,FOP26,FOP27,FOP28,FOP29,FOP30,score_total
1,5,3,4,2,3,4,2,5,4,4,5,2,5,5,3,4,3,4,2,4,4,3,3,1,5,5,4,1,3,1,103
2,3,1,4,2,1,4,1,1,3,3,1,1,4,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,49
3,3,2,4,4,3,3,3,1,2,4,3,2,5,3,2,4,1,2,3,1,3,2,3,3,2,3,4,3,4,3,85
4,1,2,4,5,2,5,5,2,3,3,1,2,5,3,4,3,3,2,3,4,5,4,4,3,5,4,3,2,5,4,101
5,3,1,2,3,4,4,1,2,3,4,2,1,4,3,3,3,2,4,1,3,2,1,3,2,5,2,3,2,2,2,77
6,4,1,2,1,3,3,1,2,3,3,2,1,4,1,2,4,2,3,1,2,1,1,2,1,4,3,2,2,2,1,64
8,4,1,3,1,3,3,2,2,3,4,2,2,4,2,1,3,3,4,1,3,2,1,2,2,4,5,4,2,5,3,81
9,4,2,3,2,4,3,1,1,3,3,1,2,4,1,4,3,4,4,2,4,2,2,3,3,5,3,3,4,4,2,86
10,3,2,3,1,2,1,1,1,4,2,1,2,4,1,2,2,2,3,2,1,1,2,1,1,3,3,3,3,4,2,63
11,5,3,5,5,5,5,2,5,5,5,5,3,5,5,5,5,5,5,3,5,5,4,5,2,5,5,4,5,5,2,133
12,4,2,4,2,3,4,2,2,4,4,2,2,5,2,2,3,2,2,2,3,3,2,2,2,4,2,2,2,2,2,79
13,2,1,2,1,2,2,1,1,1,2,1,1,3,1,1,1,1,2,1,2,1,1,2,2,3,2,3,2,2,2,49
14,2,1,5,1,5,5,1,1,5,3,1,2,2,1,2,4,3,3,1,3,2,1,4,4,5,3,4,4,2,1,81
15,4,2,4,2,4,5,1,2,5,3,2,2,5,3,3,3,3,3,1,3,2,1,2,2,4,4,3,2,4,2,86
16,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,3,3,1,2,2,1,1,1,4,3,3,1,2,1,51
17,3,1,2,1,4,2,1,1,4,2,1,2,5,2,3,4,4,4,2,3,2,2,2,2,4,4,3,2,4,2,78
18,4,1,4,1,3,4,3,1,2,3,1,2,3,2,1,1,2,4,1,3,2,1,2,1,5,2,3,3,3,2,70
20,5,1,4,2,5,5,1,1,3,2,2,2,5,4,2,3,3,2,1,2,2,1,1,2,4,2,4,2,3,1,77
21,1,2,2,1,3,2,1,1,3,2,1,1,5,2,1,3,1,3,1,1,2,1,2,1,4,2,1,2,3,1,56
22,2,1,2,1,3,1,1,1,2,3,1,1,4,1,1,2,1,4,1,2,1,1,1,1,2,1,2,1,3,1,49
23,4,1,4,2,3,4,1,2,4,5,2,2,5,3,2,2,1,3,1,2,2,2,2,1,5,2,4,2,1,1,75
25,4,2,4,4,5,5,1,2,5,4,2,1,5,2,3,5,2,3,1,3,1,1,1,2,4,5,1,2,5,2,87
26,4,2,2,1,4,3,1,1,3,3,1,2,5,2,2,2,4,3,1,3,3,2,2,2,5,2,3,2,5,1,76
27,3,2,3,2,3,3,1,2,3,3,2,2,4,2,2,4,2,3,1,2,2,1,1,2,3,1,2,2,3,2,68
28,4,1,3,1,4,4,2,2,4,3,2,2,5,2,2,3,3,4,1,3,3,1,2,2,5,2,3,2,3,1,79
29,4,2,3,2,4,3,2,1,3,3,1,2,5,1,2,4,2,3,2,2,1,2,2,2,5,2,3,2,3,2,75
31,5,4,5,3,4,5,3,5,4,5,4,3,5,2,4,5,5,3,2,5,2,3,3,2,5,4,3,2,4,2,111
32,4,2,2,1,2,4,3,5,4,4,5,1,5,5,5,5,5,2,1,5,2,1,2,1,5,1,3,1,2,2,90
33,1,3,4,4,4,3,2,5,4,2,5,3,4,5,5,5,5,4,3,3,5,5,1,1,3,5,1,2,1,2,100
34,4,1,3,1,4,4,2,1,4,3,1,2,5,1,2,5,1,4,1,2,2,1,2,1,4,3,3,1,2,1,71
35,3,1,5,1,4,5,1,3,2,1,2,1,4,1,2,3,1,2,1,4,2,1,1,1,5,1,1,1,3,1,64
36,5,1,3,3,3,3,1,1,4,3,1,1,5,1,2,4,3,2,1,2,1,1,1,1,3,3,2,1,3,1,66
37,1,1,2,1,2,2,1,1,2,2,1,1,3,1,1,3,1,2,1,1,1,1,1,1,2,2,2,2,3,1,46
38,5,2,5,3,5,5,2,3,5,5,3,3,5,3,3,5,4,5,2,5,4,3,3,3,5,4,4,4,4,3,115
39,5,2,4,2,4,4,2,3,3,4,3,3,5,2,2,4,3,4,2,3,4,2,3,3,5,4,4,3,4,2,98
40,4,3,3,3,4,4,1,1,3,4,1,2,4,1,2,3,2,3,5,3,2,3,3,2,5,4,5,2,3,2,87
41,3,1,2,4,3,2,2,1,3,2,1,1,4,4,5,4,3,3,3,3,3,2,4,1,4,3,4,2,5,2,84
42,2,1,3,1,3,3,2,1,4,4,2,2,4,2,1,2,3,2,1,1,2,1,2,2,4,2,3,1,2,2,65
43,3,4,4,3,2,5,2,1,4,4,1,1,5,1,3,5,2,3,2,3,3,3,2,3,2,2,3,4,3,3,86
44,4,2,2,3,3,4,2,1,3,3,2,2,5,3,2,2,3,4,3,3,2,2,2,1,4,2,2,2,3,1,77
45,5,2,4,1,4,4,1,2,3,4,1,1,5,1,2,3,1,1,1,3,2,1,2,1,5,3,2,1,3,2,71
46,4,3,4,4,4,4,1,2,3,3,2,3,4,2,2,2,3,3,3,4,3,3,2,2,4,3,4,3,4,4,92
47,3,1,4,1,2,4,1,3,2,3,2,2,4,2,2,3,3,3,2,2,2,2,3,3,5,2,1,2,3,2,74
48,3,2,4,2,2,5,2,2,3,5,2,2,5,2,3,5,2,4,2,3,3,3,2,2,5,5,3,2,3,2,90
50,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,4,2,1,1,2,1,2,1,1,1,1,1,3,3,1,44